total_requests,hits,misses,hit_rate,miss_rate,throughput,latency_p50,latency_p95,evictions,eviction_rate,cache_efficiency,run_id,distribution,policy,cache_size_mb,cache_size_label,ttl,n_requests,zipf_s,redis_hits,redis_misses
500,280,220,0.56,0.44,1888.6608410911113,0.00045037269592285156,0.0011296272277832031,0,0.0,-0.00824,30,uniform,allkeys-lfu,500,500MB,300,500,2.0,7506,7494
500,204,296,0.408,0.592,1449.1540649384033,0.0006270408630371094,0.0015017986297607422,233,46.6,-0.011432000000000001,31,zipf,allkeys-lru,2,2MB,15,500,2.0,7710,7790
500,210,290,0.42,0.58,1653.891015141036,0.0005629062652587891,0.0012204647064208984,225,45.0,-0.011179999999999999,32,zipf,allkeys-lru,2,2MB,60,500,2.0,7920,8080
500,207,293,0.414,0.586,1739.370454907373,0.0005128383636474609,0.0012733936309814453,235,47.0,-0.011306,33,zipf,allkeys-lru,2,2MB,300,500,2.0,8127,8373
500,327,173,0.654,0.346,2318.0557597355155,0.0003173351287841797,0.0010554790496826172,0,0.0,-0.006266,34,zipf,allkeys-lru,10,10MB,15,500,2.0,8454,8546
500,326,174,0.652,0.348,2425.109220297745,0.00030493736267089844,0.0010352134704589844,0,0.0,-0.006308,35,zipf,allkeys-lru,10,10MB,60,500,2.0,8780,8720
500,334,166,0.668,0.332,2007.7950799661085,0.0004031658172607422,0.0012221336364746094,0,0.0,-0.005972000000000001,36,zipf,allkeys-lru,10,10MB,300,500,2.0,9114,8886
500,317,183,0.634,0.366,1964.6077720508194,0.0004000663757324219,0.0011756420135498047,0,0.0,-0.006686,37,zipf,allkeys-lru,50,50MB,15,500,2.0,9431,9069
500,319,181,0.638,0.362,2271.4075749255644,0.0003247261047363281,0.0011076927185058594,0,0.0,-0.006602,38,zipf,allkeys-lru,50,50MB,60,500,2.0,9750,9250
500,319,181,0.638,0.362,1998.1477740894175,0.0003879070281982422,0.0011851787567138672,0,0.0,-0.006602,39,zipf,allkeys-lru,50,50MB,300,500,2.0,10069,9431
500,320,180,0.64,0.36,2315.240731152359,0.00032806396484375,0.0010609626770019531,0,0.0,-0.006560000000000001,40,zipf,allkeys-lru,200,200MB,15,500,2.0,10389,9611
500,320,180,0.64,0.36,2323.2636330905366,0.0003132820129394531,0.0010862350463867188,0,0.0,-0.006560000000000001,41,zipf,allkeys-lru,200,200MB,60,500,2.0,10709,9791
500,320,180,0.64,0.36,2252.047851205945,0.0003325939178466797,0.0010547637939453125,0,0.0,-0.006560000000000001,42,zipf,allkeys-lru,200,200MB,300,500,2.0,11029,9971
500,319,181,0.638,0.362,2244.0401351248684,0.0003368854522705078,0.0011048316955566406,0,0.0,-0.006602,43,zipf,allkeys-lru,500,500MB,15,500,2.0,11348,10152
500,328,172,0.656,0.344,2329.092330656052,0.00032830238342285156,0.001092672348022461,0,0.0,-0.006224,44,zipf,allkeys-lru,500,500MB,60,500,2.0,11676,10324
500,322,178,0.644,0.356,2396.2987466334844,0.0003066062927246094,0.0010540485382080078,0,0.0,-0.006476,45,zipf,allkeys-lru,500,500MB,300,500,2.0,11998,10502
500,262,238,0.524,0.476,2066.8560243944266,0.0004017353057861328,0.0010957717895507812,174,34.8,-0.008995999999999999,46,zipf,allkeys-lfu,2,2MB,15,500,2.0,12260,10740
500,253,247,0.506,0.494,1924.7501998492985,0.0004360675811767578,0.0011394023895263672,183,36.6,-0.009374,47,zipf,allkeys-lfu,2,2MB,60,500,2.0,12513,10987
500,260,240,0.52,0.48,1881.700999014803,0.00046133995056152344,0.0011749267578125,184,36.8,-0.00908,48,zipf,allkeys-lfu,2,2MB,300,500,2.0,12773,11227
500,324,176,0.648,0.352,2062.0902789863944,0.0003936290740966797,0.0011036396026611328,0,0.0,-0.006392,49,zipf,allkeys-lfu,10,10MB,15,500,2.0,13097,11403
500,311,189,0.622,0.378,1965.9909160366171,0.0004017353057861328,0.0012259483337402344,0,0.0,-0.006938000000000001,50,zipf,allkeys-lfu,10,10MB,60,500,2.0,13408,11592
